name,date,location,species,accession
D_mel_Colorado_USA_2021_MDS_C2_6_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_6
D_mel_Colorado_USA_2021_MDS_C2_7_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_7
D_mel_Colorado_USA_2021_MDS_C2_8_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_8
D_mel_Colorado_USA_2021_MDS_C2_9_RNA3,2021,USA,melanogaster,D_mel_Colorado_USA_2021_MDS_C2_9
D_mel_Haiti_2018_fly_F13,2018,Haiti,melanogaster,D_mel_Haiti_2018_fly_F13
D_mel_Haiti_2018_fly_F5,2018,Haiti,melanogaster,D_mel_Haiti_2018_fly_F5
D_mel_Illinois_USA_1908_1004277_RNA3,1908,USA,melanogaster,D_mel_Illinois_USA_1908
D_mel_Minnesota_USA_1919_StPaul1919_RNA3,1919,USA,melanogaster,D_mel_Minnesota_USA_1919
D_mel_Pennsylvania_USA_1963_Frost03211963_RNA3,1963,USA,melanogaster,D_mel_Pennsylvania_USA_1963
D_sim_California_USA_2011_BBDIV1550_RNA3,2011,USA,simulans,D_sim_California_USA_2011
