EL1: Electronic Ladder,A1: P1 B10,B1: P1 F1,C1: P2 12,D1: P3 A4,E1: P3 B11,F1: P3 D6,G1: P3 F1,H1: P3 H8,A2: P4 C4
0.08420372,0.3621972,0.1429651,0.2484531,0,0.006494045,0.04426098,0.1793942,0.2516494,0.04662418
0.03852177,0.3661253,0.172611,0.2202792,0.1048973,0,0.1097484,0.2338119,0.3801718,0.04877853
0.1143756,0.3355737,0.1944559,0.09092188,0.09773707,0,0.1643214,0.2724094,0.4330812,0.05602551
0.2220144,0.3220153,0.3085701,0.0660634,0.07730222,0,0.1639638,0.2436156,0.4266515,0.1482501
0.4593344,0.3734424,0.4180934,0.1417179,0.2190361,0,0.1543579,0.1201248,0.4184427,0.1775265
0.3339543,0.3419082,0.4024,0.1557031,0.2134738,0,0.06750441,0.1387968,0.3852577,0.2488708
0.2182727,0.4061096,0.3137133,0.1678896,0.225307,0,0,0.07719946,0.3730474,0.2757821
0.2291179,0.3431709,0.2447934,0.1074243,0.2142136,0,0,0.1458879,0.2633915,0.321167
0.2393465,0.3580999,0.1865683,0.1696324,0.1707163,0,0.0333457,0.1449695,0.2738543,0.3422208
0.2078538,0.3544657,0.2216277,0.3329844,0.1211071,0.1073215,0.05392265,0.08632517,0.235043,0.42136
0.1527991,0.2791409,0.08925128,0.290297,0.06253934,0.08964801,0.04010534,0.03393984,0.2930026,0.4189959
0,0.2727351,0,0.3020754,0.125005,0.05181575,0.04844046,0.08337688,0.3399239,0.3754711
0.02681494,0.260133,0,0.332725,0,0,0,0.06424665,0.3990102,0.3195448
0,0.2884197,0,0.3537397,0.02152085,0.01716685,0.07329559,0.002858639,0.4070401,0.2339144
0,0.1503499,0.03689861,0.3778548,0.02002573,0.03123808,0.1739535,0,0.4662509,0.1263232
0,0.06268167,0.03439569,0.2931395,0,0.02630782,0.1769271,0,0.466238,0.04672766
0.004436493,0.02714872,0,0.2417016,0,0.02579594,0.1332264,0,0.3981733,0.00438118
0.1063318,0,0.07887888,0.1566396,0.01952863,0.09064388,0.1741877,0.0409584,0.2977314,0.05740595
0.03486204,0.03970599,0.04057527,0.09397554,0.07256293,0.1620193,0.169136,0.02772999,0.337616,0.1606255
0.07004738,0.05576015,0.1074402,0.07696962,0.07059669,0.348443,0.09782887,0.01689386,0.2085853,0.2564225
0.1939974,0.1065443,0.02907658,0.003901005,0.09419417,0.3179502,0.1586771,0,0.1343932,0.2824411
0.2114682,0.1316614,0,0,0.02661014,0.3561296,0.1659856,0.1385717,0.09589481,0.3054652
0.3254375,0.1554551,0.05019498,0.03488731,0.04482722,0.3216009,0.09431171,0.2770286,0.07542276,0.3121066
0.3272204,0.1413307,0.0368278,0.04452801,0.1458731,0.34305,0.1785913,0.3360896,0.08830595,0.1697936
0.3582625,0.08016753,0.1193786,0.04200697,0.2827764,0.3039265,0.1187534,0.3302073,0.2132583,0.1037788
0.6224704,0.09501982,0.1786005,0.01125669,0.3266253,0.2335978,0.06414175,0.3521814,0.2631969,0.07279444
0.6738214,0,0.1560419,0.0441308,0.3422158,0.1363945,0.01817942,0.2794352,0.3063927,0.09212446
0.6119556,0,0.1738503,0,0.3447747,0.1310027,0,0.2392893,0.4071412,0.1455178
0.3347888,0.06668448,0.219852,0,0.3562799,0.2329512,0,0.1422615,0.458055,0.2169728
0.1531692,0.06727791,0.1822476,0.03755617,0.2250035,0.2771754,0,0.1585307,0.4349189,0.2673192
0.07856035,0.1282809,0.1287906,0.0486517,0.1261094,0.2466302,0.004426718,0.1383219,0.425199,0.2882915
0.02700949,0.1705611,0.08876586,0.01244783,0.04289174,0.2480145,0.01727772,0.2434902,0.3658314,0.328414
0,0.1763349,0.08341789,0.1047573,0.115535,0.1566503,0.04807281,0.3104939,0.3804679,0.2898936
0,0.2066934,0,0.1346521,0.1004245,0.0778923,0.07430983,0.3668289,0.4063792,0.1440248
0,0.2313635,0,0.0657897,0.138639,0.06958222,0.00455904,0.5139861,0.365726,0.1800013
0,0.1599898,0,0.05908918,0.06150198,0.02086878,0.013134,0.4844851,0.2938643,0.1210046
0.04109764,0.08102274,0,0.03706789,0,0,0,0.3984399,0.2440791,0.1472473
0,0.07444429,0,0,0,0.07844925,0.07126427,0.2635989,0.2479153,0.1565971
0.02638292,0.0721941,0.04028225,0,0.007887602,0.1149235,0,0.1244698,0.1084795,0.1577206
0.06229401,0.04460955,0.06463075,0,0.01885819,0.05533552,0.01980424,0.1269908,0.08534241,0.1449513
0.04121494,0.05618668,0.06717801,0,0.08349133,0.04873919,0,0.07732296,0,0.1562886
0,0.0449214,0.08631063,0,0.2810874,0,0,0.08901882,0,0.1067553
0,0.02572203,0.0970118,0,0.3096626,0,0,0.13836,0.08082533,0.07241201
0,0.07663441,0.01566434,0,0.2315681,0,0.04086971,0.1202612,0.08912611,0
0,0.1000054,0.05440307,0,0.1688778,0,0.09890628,0.2187867,0.07931757,0
0,0.1516569,0,0.01661277,0.06381416,0.08872819,0.2407181,0.1757069,0.2254972,0
0,0.1935685,0,0.02250028,0,0.1369245,0.2330353,0.1811557,0.2867455,0.07709503
0,0.226712,0,0.03203034,0,0.1626978,0.227536,0.06859016,0.332305,0.1534653
0,0.2626972,0,0.02700472,0,0.1200917,0.1678741,0.06956005,0.2745895,0.1896343
0,0.277631,0,0.03384137,0,0.1356595,0.1651418,0.09181881,0.3145247,0.2546563
0,0.2875865,0.00632906,0.0228436,0.01714087,0.158828,0.0158565,0.1346107,0.2900038,0.3220124
0,0.2273428,0.07199764,0.05218315,0.1716063,0.2822428,0,0.1406975,0.3135428,0.3994188
0.3040228,0.1679225,0.07289171,0.1581068,0.177182,0.3460841,0,0.1540561,0.279068,0.5493135
1.405515,0.07859182,0.0006494522,0.2234976,0.2140012,0.3278174,0,0.1179328,0.2657328,0.5093546
2.834507,0,0,0.2201192,0.21738,0.3290958,0,0.1622133,0.2873921,0.4293413
4.043449,0,0,0.2628531,0.1452281,0.4233155,0,0.2309322,0.3267002,0.444067
5.409372,0,0,0.3171015,0,0.2733135,0.0219965,0.2758679,0.2247386,0.482553
7.060751,0,0.002774239,0.2612731,0.01606297,0.2397316,0.04755402,0.2326522,0.07084465,0.4017949
9.01142,0,0,0.2577624,0.1201584,0.1682384,0.09245396,0.3172779,0,0.2985587
11.38547,0.08026552,0,0.2530491,0.2034423,0.1500242,0.06566191,0.2927151,0.06180239,0.1589632
14.12005,0.2303071,0.0006551743,0.1349585,0.269717,0.1145589,0.005531311,0.3083196,0.1188941,0.06124449
17.26014,0.370698,0.02242947,0.1645644,0.2631311,0.1997886,0,0.2660732,0.1169519,0.08125496
20.97051,0.2733603,0,0.1911669,0.277776,0.1863778,0,0.326139,0.1639438,0.08844757
25.3254,0.1228204,0,0.07551432,0.3405449,0.1200321,0,0.4029155,0.1973491,0.01743364
30.42628,0,0,0.1511796,0.1783085,0.1484485,0.02065039,0.3178039,0.2490835,0.09722328
36.0128,0,0,0.07388687,0.06657004,0.1176705,0.05338144,0.2569418,0.2616587,0.1524024
42.3921,0.004165649,0,0.02215362,0,0,0.01879597,0.260551,0.2329612,0.1927352
49.75721,0,0,0,0,0.008297682,0.004742146,0.2026076,0.1716275,0.1680989
58.11675,0,0,0,0.007886648,0,0,0.2058539,0.08803415,0.1100836
67.09781,0.08546662,0,0,0.0468204,0.003508091,0.1368217,0.1023045,0.2685542,0.01810312
76.59318,0.2071979,0,0,0.04543185,0,0.158978,0.09081268,0.2345629,0
86.53235,0.2928424,0.001471043,0.03114963,0,0,0.3389812,0.1186852,0.1715255,0
96.71154,0.1858487,0,0.03628707,0,0,0.5444598,0.1657467,0.1849623,0.03326082
107.3292,0.1368682,0,0.03165102,0.04957008,0,0.7390637,0.1577134,0.1002965,0.07785225
118.0085,0.0933876,0,0.1196184,0,0.02397299,0.8415236,0.08098555,0.08529758,0.1543527
128.5506,0.1232564,0,0.03538752,0.001049757,0.04408216,0.8199735,0.09509468,0.1038947,0.1880589
138.9781,0.0807035,0,0.03612328,0.1504972,0.06331778,0.7272534,0.1761956,0.07661772,0.2075195
148.6813,0.0733819,0,0.1068656,0.2284455,0.1955547,0.6461678,0.1858449,0.1027904,0.1208434
158.0438,0,0,0.219712,0.2976623,0.1978068,0.4723835,0.1815042,0.1002297,0.02469063
165.8421,0,0,0.2722392,0.334111,0.219645,0.3592472,0.1186409,0.2331858,0.01265335
172.4071,0,0.3612232,0.3514597,0.3472359,0.1255569,0.2213426,0.1874971,0.0984869,0.03047514
177.1938,0.005674362,1.883076,0.423748,0.2933269,0.06693077,0.05714893,0.1746969,0.006408691,0
180.721,0.1430256,3.961728,0.4397404,0.1992033,0.05383253,0,0.1393595,0.01587057,0.07373142
182.7976,0.2069135,6.969123,0.4412143,0.1271424,0.0845046,0,0.1439843,0.01416969,0.1626501
184.0034,0.2012358,11.31664,0.3628349,0.07667089,0.02861691,0.02994347,0.178019,0.06615067,0.2430491
183.7612,0.2236528,17.07566,0.2767084,0.06961513,0,0.08722925,0.1191645,0.1325464,0.3635678
182.0963,0.2018962,24.65093,0.163775,0.02681756,0,0.2977943,0.01547909,0.115263,0.3105264
179.2551,0.1904757,34.40899,0.09913254,0,0.01058006,0.4109654,0,0.2168345,0.274169
175.4089,0.121084,46.46817,0.07554364,0,0,0.400929,0,0.2623496,0.2473545
169.8648,0.04708529,60.90845,0,0,0.01416111,0.4526172,0,0.2851591,0.2307138
163.6694,0.01204872,77.72183,0.02741027,0.01000714,0,0.4254556,0,0.2734942,0.210053
156.3133,0,97.05453,0.09702611,0.08372855,0.04413652,0.2145262,0,0.1953254,0.09590435
148.2467,0,118.1035,0.1363332,0.03553939,0.03998613,0.1092839,0.010396,0.2107892,0.07831192
139.6879,0,140.7446,0.2287428,0.08591843,0.06960917,0.06018877,0.1060069,0.2124095,0.1227956
131.4263,0,164.8593,0.2997336,0.1032979,0,0.03379154,0.2377765,0.1907582,0.110939
122.399,0,188.5617,0.3434243,0.03765583,0.008050442,0,0.3105781,0.1923428,0.1413913
113.4277,0,211.8859,0.322547,0,0.03739548,0.07568789,0.3866851,0.1310797,0.1372194
104.7552,0.1192617,233.206,0.2435017,0.005019426,0.01548147,0.08363008,0.3332875,0.1409349,0.2158589
96.02428,0.1770649,251.4921,0.16818,0.01561284,0.01192951,0.07045746,0.245302,0.1150784,0.1821108
87.56607,0.2043595,266.4352,0.1327362,0,0,0.03758144,0.2011075,0.1222572,0.2299356
79.93262,0.193069,277.1805,0.09392333,0,0,0.02689791,0.2109044,0.239079,0.2582417
72.51277,0.1479721,283.5589,0.0486393,0.02074671,0,0.0228591,0.2130506,0.146297,0.2753677
65.42696,0.06175709,283.8965,0,0,0,0,0.2010024,0.1953182,0.277523
58.7887,0.03956556,280.2841,0,0,0,0.006558418,0.2082088,0.1962342,0.2074723
53.03083,0.02132988,272.7608,0.002468824,0,0,0,0.2259896,0.143652,0.135181
47.41869,0,261.3424,0.04924226,0,0,0,0.1817036,0.05062342,0.02380657
42.51573,0,247.473,0.1021428,0.03448915,0,0.1344328,0.1642032,0,0.0006051064
38.00323,0.07096624,230.9657,0.03240013,0.03929758,0,0.3097849,0.0480938,0,0
34.11943,0,212.8681,0,0.06296062,0,0.4314675,0.07449436,0,0
30.83343,0.01931095,194.4561,0,0.03666353,0,0.454824,0.1760197,0.1073537,0
28.08009,0,176.0479,0.09034967,0.06499147,0,0.4306498,0.1847603,0.219667,0
25.57552,0,158.0696,0.1617756,0.07448435,0,0.3139067,0.2448852,0.2361097,0.01977301
23.51604,0,140.2367,0.2215257,0.02589417,0,0.1482077,0.3222196,0.3855438,0.08363104
21.80286,0,124.4289,0.3302627,0.05498457,0,0.09466934,0.3904178,0.4691076,0.05652189
20.47512,0,109.8584,0.3783388,0.03600073,0,0,0.406955,0.5214534,0.1002645
19.14278,0,96.81887,0.4349446,0,0,0,0.3845851,0.4462514,0.07646537
18.04222,0,85.41806,0.3896723,0,0,0.03843641,0.4050643,0.3841963,0.0969007
16.84309,0.05025101,75.20074,0.3294377,0,0,0,0.4106967,0.2308083,0.03629518
16.03548,0,66.26532,0.3735676,0,0,0,0.497566,0.2121429,0
15.28468,0,58.77041,0.3777223,0,0,0.04282379,0.4618018,0.2326927,0.01186442
14.43121,0,52.40504,0.3865595,0,0,0.08148241,0.3322713,0.2210503,0
13.87171,0,47.11591,0.3265219,0,0,0.01741266,0.2935059,0.1099601,0
13.48894,0,42.64336,0.2520876,0,0.1838474,0,0.2543862,0.01294446,0
13.46001,0,38.90477,0.1789088,0,1.79022,0,0.2737534,0,0
13.14586,0,35.59107,0.07346869,0,3.668035,0,0.2311513,0.06245756,0
12.79887,0,32.73932,0.06260586,0,5.971168,0.03608227,0.1952682,0.07104206,0.01297927
12.60898,0,30.4287,0,0,8.534789,0.01013041,0.1819422,0.1185651,0.05025578
12.22836,0,28.46049,0,0,11.57729,0,0.1723788,0.1622081,0.06321001
11.97549,0,26.94107,0,0.07177258,15.15268,0,0.2298996,0.213145,0.0393312
11.68075,0,25.56668,0.06294417,0.107161,19.23964,0,0.2720144,0.2670214,0.1314516
11.16488,0,24.29085,0.1696012,0.1117539,24.08158,0,0.2642038,0.2695463,0.1865697
10.84782,1.927189,23.05619,0.3082798,0.06344366,29.63393,0,0.2732537,0.1384983,0.1175904
10.45394,4.522689,21.9886,0.2920163,0.004678249,36.07983,0,0.2670977,0.03424454,0.1838694
10.1925,7.840557,20.85632,0.331692,0,43.42313,0.007845879,0.3439052,0,0.2477198
9.845958,11.92366,19.75975,0.2614691,0,51.7803,0.05521488,0.3327405,0.02967811,0.2362509
9.430903,17.05752,18.85983,0.2291224,0,60.93318,0.1009116,0.3265536,0.05675364,0.1741514
9.227633,23.45616,17.99553,0.175657,0,71.32253,0.09232759,0.2336099,0.1234884,0.2427821
8.951421,31.47433,17.25425,0.1551034,0,82.79329,0.07225037,0.1867752,0.1650753,0.2011905
8.649407,41.05797,16.56109,0.1114385,0,95.33932,0,0.1806431,0.1931906,0.1639385
8.43328,52.4334,15.82779,0.2246888,0,109.1887,0.01901817,0.291589,0.170444,0.2030354
8.136649,65.50586,15.16701,0.2947223,0,124.0603,0,0.2418487,0.1919413,0.1556592
7.748421,80.54613,14.53133,0.4117258,0,140.1147,0,0.2074947,0.2095876,0.1020355
7.452363,97.43985,13.9951,0.3091371,0,156.7592,0,0.2278512,0.1439171,0.1705709
7.086936,115.9727,13.45981,0.2905877,0,173.6988,0,0.2292817,0.2181525,0.07962632
6.854991,136.4574,13.01835,0.1911438,0,190.964,0,0.1520822,0.2625394,0.02566528
6.527324,158.8856,12.69284,0.1485765,0,207.7202,0,0.08014607,0.2669363,0
6.17592,182.8231,12.37468,0.05225945,0,223.8417,0,0.02706671,0.2501202,0
5.929846,207.891,12.06299,0.001184225,0,238.2526,0,0.01792955,0.1256447,0.02602148
5.731161,233.2583,11.77493,0,0,250.4338,0,0.02522063,0.1155612,0
5.530811,258.8181,11.55678,0,0,259.9542,0,0.06639552,0.05738258,0
5.314283,283.8851,11.38068,0,0.9821367,265.7628,0,0.02864099,0.0469842,0.01654291
5.039759,306.5569,11.18058,0,4.815843,267.8114,0,0.07602453,0.05118012,0.08369255
4.879637,324.6111,11.01572,0,10.25367,265.5956,0,0.1116741,0.01999712,0.08216763
4.533747,339.3237,10.80624,0,17.91149,259.3012,0,0.1214254,0.1370492,0
4.246821,348.9881,10.56185,0,27.69866,249.3216,0,0.08151364,0.1942482,0.08328819
3.987095,353.2879,10.3955,0,40.45429,236.442,0,0.03855324,0.1906304,0.1456132
3.707324,351.6983,10.21608,0,56.76596,221.303,0,0.0818584,0.1401296,0.2073627
3.459528,343.3367,10.15713,0.01138401,76.73234,204.4875,0,0.0611496,0.04048634,0.2808313
3.27951,329.138,10.19579,0.1235304,100.5141,187.1932,0,0.03503251,0.04723883,0.2063141
3.214552,310.3464,10.19994,0.07524061,128.8707,170.4757,0,0.02491307,0.1306095,0.1847138
3.010284,287.5685,10.32243,0.02186394,160.9815,154.8012,0,0.04294348,0.1617107,0.1288338
3.008267,261.0458,10.44533,0.07647371,198.2978,140.8649,0,0.07518411,0.2647753,0.09964466
2.798151,231.966,10.52908,0.07243872,238.0777,128.6354,0,0.02445316,0.3471169,0.0287652
2.634225,203.9558,10.59839,0,280.7736,118.2106,0,0.003458977,0.4621706,0
2.382677,176.4657,10.62933,0,325.5591,109.425,0,0.00257206,0.4912395,0
2.227367,151.0672,10.72947,0,370.9207,102.2499,0,0,0.4456067,0
2.095788,128.2961,10.70797,0,417.1598,96.23063,0,0.03596592,0.3502474,0.1195188
1.843846,108.0575,10.86631,0,461.6422,91.21708,0.509903,0,0.1925769,0.1915255
1.697485,90.95832,11.06382,0,504.1623,87.28118,4.070162,0,0.08031654,0.1512141
1.858475,76.89614,11.18946,0.009313107,542.5746,84.44328,9.000263,0.07225633,0.04475093,0.04032087
1.811575,65.39034,11.41081,0,575.4507,82.15799,15.54454,0.1072764,0.0111165,0
1.964374,56.49914,11.50551,0.007436752,601.3643,80.68539,24.18468,0.1378264,0,0
1.901066,49.59069,11.55002,0,617.8785,79.40697,34.98476,0.05774355,0,0
1.778781,44.50694,11.60749,0,626.8502,78.74278,48.34154,0.07877946,0,0
1.556797,40.68488,11.67022,0,626.0895,78.43786,64.51472,0.167685,0,0
1.403651,37.53363,11.81396,0.02204561,616.294,78.26537,83.27105,0.1988783,0.06388378,0
1.308333,35.21807,11.84762,0.02638483,600.1595,78.39384,105.4788,0.2363434,0.07480049,0.03206539
1.10693,33.49627,12.03316,0,576.2343,78.89886,131.1961,0.1831055,0.07705498,0.04627562
1.049143,31.81211,12.23873,0,547.9623,79.69006,159.2234,0.2166233,0.1483922,0.08960676
1.241197,30.47948,12.45697,0,514.2228,80.8114,191.1593,0.2833972,0.1868615,0.04615545
1.354727,29.1284,12.55812,0,478.1869,82.01803,226.5584,0.262136,0.2530928,0.04183006
1.502384,27.89127,12.61331,0.1449976,439.9479,83.96153,264.1034,0.2399635,0.2331042,0.03377247
1.519122,26.87384,12.72026,0.2332821,402.3772,86.0316,304.6873,0.1586881,0.2372794,0
1.324928,25.91232,12.83548,0.345891,366.4757,88.50688,346.8522,0.08140135,0.2270374,0.07866001
1.076735,24.93457,12.93867,0.3197598,330.6104,91.05499,389.6593,0.01372623,0.1791811,0.06095505
0.9952097,23.93698,13.10299,0.3180604,297.97,93.77345,432.9404,0.02323627,0.2030616,0
0.8940001,23.04733,13.1133,0.2173619,267.7735,96.61681,474.6294,0.06626916,0.1577492,0
0.725214,22.26708,13.24139,0.09433556,239.3229,99.55154,513.7537,0.01168537,0.1020813,0
0.6926012,21.36156,13.3807,0.07330847,213.7802,102.2716,548.6528,0,0.05634975,0.03172779
0.6888208,20.74832,13.56305,0,189.7828,104.8625,578.6343,0.03504586,0.01233101,0.05784893
0.7387056,20.06997,13.71789,0,168.8076,107.3293,603.499,0.08243346,0,0.02455568
0.8532467,19.52541,13.8753,0,150.161,109.8016,622.456,0.08256936,0,0
0.7408857,19.09966,14.18006,0,134.2787,111.9517,635.558,0.06831193,0,0.005056858
0.7472887,18.80496,14.59405,0,120.593,113.9849,641.2405,0,0,0.04470348
0.8692646,18.57678,14.9817,0,108.3344,115.7013,638.3312,0,0,0
1.168772,18.42891,15.50107,0,98.55222,117.39,627.8555,0,0.08567524,0
1.190784,18.38151,16.09966,0,89.90271,119.046,609.9244,0,0.1347227,0
1.200372,18.4445,16.77361,0,82.51143,120.4065,582.886,0,0.06551933,0.00865078
1.114477,18.42497,17.56639,0,75.99857,121.4298,548.5956,0,0.01660538,0.03111219
0.9727325,18.60661,18.48991,0,70.37956,122.1816,510.4906,0.05784178,0,0.01456451
0.8234692,18.75734,19.52819,0,65.59553,122.7258,471.4484,0.1131186,0.03426838,0
0.8036432,19.02277,20.58661,0,61.57064,122.9875,431.9807,0.122261,0.12604,0
0.7431259,19.26977,22.01448,0,58.03927,122.9565,393.7058,0.06496668,0.1915717,0.03484154
0.7612772,19.55202,23.56966,0,54.75179,122.7085,357.5807,0.005737782,0.2433248,0
1.037474,19.97385,25.23251,0,51.70268,122.2106,323.5919,0,0.3663526,0
1.257266,20.35874,27.2205,0,49.14329,121.8738,293.5962,0,0.3431282,0.01323748
1.272376,20.68089,29.43078,0,46.75603,121.3385,266.5489,0,0.2556481,0.02585602
1.354032,21.10075,31.66839,0,44.51157,120.5434,239.5678,0.01372433,0.1622968,0.08284616
1.327152,21.41686,34.15243,0,42.39797,119.7001,216.0223,0.04165649,0.1000228,0.009095192
1.441128,21.80849,36.72904,0,40.60654,118.7587,196.7323,0.06536436,0,0
1.437162,22.2288,39.36012,0,38.97659,117.7734,179.6314,0.1109004,0.006494522,0
1.53565,22.74832,42.08137,0,37.6891,116.9019,164.5832,0.08068562,0,0
1.483832,23.27166,44.82562,0,36.47406,116.0503,152.2925,0.001458645,0,0.002755165
1.313531,23.84583,47.39064,0,35.40478,115.1324,141.9955,0,0,0
1.350208,24.4323,49.92301,0,34.38433,114.529,133.649,0,0,0
1.262451,24.93085,52.41175,0,33.65302,114.4556,126.8055,0,0,0
1.230331,25.59889,54.69001,0,32.95109,114.5151,120.3829,0,0,0
1.182846,26.30112,56.81673,0,32.38323,115.1333,114.8623,0.06667757,0,0.02253342
1.293417,26.96536,58.7874,0,32.03397,116.345,110.5055,0.03438234,0,0
1.43209,27.75456,60.50617,0,31.83502,118.1486,106.6852,0.09620762,0,0
1.565934,28.56956,61.9721,0,31.65511,120.4953,103.3323,0.1680293,0.005019188,0.04459
1.778693,29.55646,63.36804,0,31.69867,123.7282,100.4057,0.1453886,0,0
1.832576,30.65573,64.35194,0,31.87891,127.6081,97.83886,0.1282701,0,0.005597115
1.958308,32.02384,65.14577,0,32.13064,132.0827,95.56118,0.1206789,0,0
2.013226,33.42236,65.84797,0,32.47816,137.0575,93.52431,0.08432579,0.0181632,0
1.900956,35.08957,66.42878,0,32.99516,142.6932,91.7189,0,0.08232498,0
1.976776,37.1051,66.87685,0,33.61053,148.3257,90.23319,0,0.04441595,0
1.942533,39.39529,67.37224,0,34.39564,154.5138,88.92918,0,0,0
2.064632,42.10547,67.88165,0,35.2637,160.4035,88.05414,0,0.06932211,0
2.001075,45.20559,68.50539,0,36.13483,165.9652,87.52898,0,0.01778269,0
2.192392,48.58479,69.15156,0,37.07028,171.1805,87.25887,0.06241226,0.01341009,0
2.310712,52.35125,69.96818,1.937069,38.25849,175.8128,87.43369,0.06355858,0,0
2.362311,56.55723,70.73035,6.621397,39.48979,179.3991,87.82932,0.05764532,0,0
2.456297,61.29749,71.47083,13.05364,40.76098,182.0258,88.55508,0.07566738,0,0
2.468528,66.36645,72.17921,22.0516,42.10402,183.3922,89.82446,0,0,0
2.466484,71.66395,72.86544,33.65344,43.58783,183.6114,91.30147,0,0,0
2.562199,77.34148,73.40363,48.38337,45.12002,182.2412,92.94581,0.03705311,0,0
2.688143,83.32854,74.09365,66.96806,46.74093,179.9776,94.96642,0.01901913,0,0
2.760905,89.79665,74.91289,89.91614,48.26781,176.509,97.09795,0.04271793,0,0
2.684251,96.3081,75.64295,117.5154,49.84151,172.2258,99.48234,0,0,0
2.796084,102.6248,76.59285,149.5484,51.30719,167.5128,102.1038,0,0,0
2.842338,108.5275,77.67059,188.1824,52.65226,162.1409,105.0568,0.02573204,0,0
2.957272,114.1644,78.92994,231.586,53.8411,156.5558,108.276,0.03632355,0,0.004707813
3.109657,119.1834,80.00903,279.7635,55.08563,151.0541,111.8483,0.04791737,0,0
3.35411,123.5344,81.14854,333.861,56.14241,145.8356,115.8428,0,0,0
3.562705,126.8952,82.29733,392.4427,57.18692,140.7225,119.7205,0,0,0
3.711011,129.3575,83.45827,453.5556,58.04168,135.7444,123.463,0.002524853,0.05804396,0
3.779229,130.963,84.80302,519.1243,58.85575,131.4491,127.4702,0,0.08106756,0
3.873752,131.9751,86.16483,584.5012,59.43981,127.7956,131.1835,0,0.04423189,0
3.97186,131.9245,87.43703,650.6122,59.73522,124.5482,134.9625,0,0.004813671,0
4.120864,131.2282,88.96058,714.5573,59.77423,121.8758,138.5008,0,0,0
4.407995,129.85,90.29427,775.8484,59.75857,119.7026,141.8013,0.01314926,0,0
4.740877,128.2926,91.75607,829.7207,59.73784,117.9461,145.2458,0.01592493,0,0
5.183635,126.5454,93.11703,878.5103,59.74221,116.6814,148.5408,0.02883673,0,0
5.696602,124.633,94.17316,915.8066,59.46024,115.6235,151.1525,0.03471422,0,0
6.020205,122.7082,95.01678,943.0361,59.18208,114.6518,153.2964,0.06493998,0,0
6.294484,120.7486,95.73559,960.9327,58.83239,113.6326,154.8831,0.01242018,0,0
6.550032,119.1279,96.17582,966.4835,58.44961,113.0172,156.064,0,0,0
7.067249,117.8862,96.42515,960.1185,57.98892,112.5271,156.7775,0,0,0.6828728
7.607132,117.1666,96.45937,944.5079,57.65387,112.0676,157.2059,0,0,4.828201
